    JOBID     USER PARTITION     NAME ST   START_TIME     END_TIME TIME_LEFT  NODES NODELIST(REASON)  PRIORITY
  1490307 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490308 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490309 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490310 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490311 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490312 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490313 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490314 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490315 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490316 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490317 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490318 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490319 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490320 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490321 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490322 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490323 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490324 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490325 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490326 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490327 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490328 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490329 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490330 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490331 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490332 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490333 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490334 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490335 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490336 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490337 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490338 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490339 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490340 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490341 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490342 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490343 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490344 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490345 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490346 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490347 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490348 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490349 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490350 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490351 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490352 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490353 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490354 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490355 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490356 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490357 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490358 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490359 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490360 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490361 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490362 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490363 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490364 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490365 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490366 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490367 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490368 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490369 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490370 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490371 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490372 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490373 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490374 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490375 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490376 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490377 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490378 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490379 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490380 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490381 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490382 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490383 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490384 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490385 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490386 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490387 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490388 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490389 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490390 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490391 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490392 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490393 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490394 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490395 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490396 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490397 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490398 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490399 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490400 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490401 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490402 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490403 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490404 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490405 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490406 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490407 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490408 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490409 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490410 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490411 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490412 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490413 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490414 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490415 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490416 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490417 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490418 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490419 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490420 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490421 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490422 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490423 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490424 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
  1490425 kopanica    bigMem   Smiley PD          N/A          N/A 1-00:00:00      1      (Priority)      1715
